id	title	title_source	title_uri	ccodes	fclasses	types	lat	lon	geowkt	start	end	links	description	approximation
id_04489	Coneiuaga			US	H	Rio	40.057400	-76.588700		1786	1789		Río pequeño de la Provincia y Colonia de Pensilvania en el Condado de Yorck : corre al E y entra en el de Susquehanna .	geo:sfWithin
id_04490	Conestoga			US	P	Pueblo de Indios	40.439900	-75.860000		1786	1789		Pueblo de Indios de la misma Provincia y Colonia que el río anterior, situado entre dos brazos de E y O del río Susquehanna , donde tienen los Ingleses un establecimiento y un fuerte para su defensa.	geo:sfWithin
id_04491	Conestoga			US	H	Rio	40.440000	-75.859900		1786	1789		Tiene el propio nombre un río de esta Provincia, que corre al O, luego tuerce al S y entra en el de Susquehanna .	geo:sfWithin
id_04492	Conetla			MX	P	Pueblo	15.898600	-91.942500		1786	1789	indias:2000052	Pueblo de la Alcaldía mayor de Comitlán en el Reyno de Goatemala .	
id_04495	Cong			BR	H	Rio	-5.983800	-36.086700		1786	1789		Río pequeño de la Provincia y Capitanía de río grande en el Brasil : nace cerca de la Costa, corre al E y sale al mar entre el de Goyana y el Pueblo de Gonzalo .	geo:sfWithin
id_04496	Congaia			PE	P	Pueblo	-12.957200	-74.490700		1786	1789	indias:6000607	Pueblo de la Provincia y Corregimiento de Angaraes en el Perú , anexo al Curato de Yulcamarca .	
id_04497	Congari			US	H	Rio	33.108400	-79.917000		1786	1789		Río caudaloso de la Carolina Meridional : corre a el SE con varios nombres hasta salir al mar, primero se llama de Trente Milles o Treinta Millas, después de Congari y últimamente de Santi .	geo:sfWithin
id_04498	Congas			PE	P	Pueblo	-10.337200	-77.441500		1786	1789	indias:6000961	Pueblo de la Provincia y Corregimiento de Caxatambo en el Perú , anexo al Curato de Ocros .	
id_04499	Rock de Conger				T	Islote	13.259500	-59.405600		1786	1789		Islote o peñasco junto a la Costa del E de la Isla de Barbada .	geo:sfWithin
id_04500	Congo			PA	P	Pueblo	8.593600	-78.383700		1786	1789		Pueblo de la Provincia y Gobierno del Darién y Reyno de Tierra Firme , situado a orilla de un río que le da el nombre, y de la Costa de la mar del Sur dentro del golfo de San Miguel .	
id_04501	Congohas			BR	P	Pueblo	-19.613700	-40.633500		1786	1789		Pueblo de la Provincia y Capitanía de Espíritu Santo en el Brasil , situado al O de la Villa Rica .	geo:sfWithin
id_04502	Santiago de Conguripo			MX	P	Pueblo	20.187500	-101.705600		1786	1789	indias:1001937	Pueblo de la Cabecera de Puruandiro y Alcaldía mayor de Valladolid en la Provincia y Obispado de Mechoacán , situado en una llanura a orilla del río grande: es de temperamento cálido y tiene 12 familias de Españoles y Mestizos , y 57 de Indios; está 26 leguas de la Capital Pasquaro .	
