entry_id	volume	entrytype	majortype	form_lemma	sense_text
id_01692	1	Toponym	settlement		Otro de la Provincia y Corregimiento de Angaraes , en el Perú .
id_01693	1	Toponym	settlement		Otro de la Provincia y Corregimiento de Barbacoas , en el Reyno de Quito .
id_01694	1	Toponym	settlement		Otro de las Misiones que tenían los Regulares de la Compañía, en la Provincia de Tepeguana y Reyno de la Nueva Vizcaya , situado a las orillas del río Florido ; está 6 leguas al S del Pueblo y Presidio del Valle de San Bartolomé .
id_01695	1	Toponym	settlement		Otro de la Isla de Curazao , situado en la costa del N, frente de la de Tierra Firme , y cerca de su extremidad al E.
id_01696	1	Toponym	settlement		Otro en la misma Isla, situado en la costa opuesta del S.
id_01697	1	Toponym	settlement		Otro de las Misiones que tenían los Regulares de la Compañía, en la Provincia y Gobierno de Mainas , del Reyno de Quito y País de los Indios Ardas.
id_01698	1	Toponym	settlement		Otro de las Misiones que tenían los mismos Regulares de la Compañía, en el Orinoco , es de Indios de la nación Saruca, fundado entre los ríos Sinaruco y Meta , el año de 1739.
id_01699	1	Toponym	settlement		Otro de la Provincia y Gobierno de Maracaibo , situado a la Orilla del río Pariba .
id_01700	1	Toponym	settlement		Otro real de minas de la Provincia de Tepeguana y Reyno de la Nueva Vizcaya , situado con inmediación por el SE del Parral .
id_01701	1	Toponym	settlement		Otro de la Provincia de Barcelona y Gobierno de Cumaná , en el Reyno de Tierra Firme , uno de los que tienen a su cuidado los Religiosos Observantes de San Francisco, de las Misiones del Piritú , situado en la Serranía a la orilla y nacimiento del río Unare .
id_01702	1	Toponym	settlement		Otro de la Provincia y Gobierno de la Sierra Gorda , en el Seno Mexicano y Reyno de Nueva España , fundado el año de 1750 por el Conde de Sierra Gorda Don Jeseph de Escandon, Coronel de Milicias de Queretaro .
id_01703	1	Toponym	settlement		Una Villa de la Isla de la Laxa , en el Reyno de Chile , situada a la orilla del río Biobio , cerca de su cabecera, con un Fuerte del mismo nombre, para contener los Indios: la fundó el Presidente Don Joseph de Rozas, Conde de Poblaciones, que la llamó así en obsequio de la Reyna Doña María Bárbara de Portugal, que reynaba entonces.
id_01704	1	Toponym	settlement		Otra Villa de la Provincia y Gobierno de Valparaíso , en el mismo Reyno de Chile al E de la Capital.
id_01705	1	Toponym	natural_feature		Un canal en el estrecho de Magallanes , con que se comunica a la mar del sur desde la Isla de Luis el grande a la parte occidental de la tierra del fuego .
id_01706	1	Toponym	structure		Un fuerte de la Provincia y Gobierno del Tucumán .
id_01707	1	Toponym	structure		Otro Fuerte en la Provincia y Gobierno de la Guayana del Reyno de Tierra Firme , situado a la orilla del Orinoco .
id_01708	1	Toponym	natural_feature	BARBE	Isla pequeña de la costa del E, de la de Terranova , delante de la Bahía Verte .
id_01709	1	Toponym	natural_feature		Tiene el mismo nombre una Bahía en la costa del O de la misma Isla de Terranova , a la entrada del estrecho de Belle Isle , por la parte del golfo de San Lorenzo .
id_01710	1	Toponym	settlement	BARBON	Villa de la Provincia y Gobierno de la Guayana , en el Reyno de Tierra Firme .
id_01711	1	Toponym	natural_feature	BARBOSA	Isla de la costa de Tierra Firme , en el Gobierno de Maracaybo y Provincia de Venezuela , es de figura de un triangulo, y está situada delante de la boca de la laguna de Maracaybo ,
id_01712	1	Toponym	natural_feature		isla de la mar del N , una de las Antillas pequeñas que poseen los Ingleses, situada al N de la Antigua o Antego: tiene 5 leguas de largo, y es de un terreno fértil, abundante de ganado y frutas, y particularmente de cocos, que son allí muy exquisitos; produce también algodón, pimienta, tabaco, añil, gengibre y cañas de azúcar, y sin embargo de estos frutos, y de muchas maderas exquisitas, yervas y raices que tiene, sacaban muy poca utilidad de ella los Ingleses, por las frecuentes incursiones que experimenta de los Indios Caribes que los destruyen: se cría en esta Isla la yerva vergonzosa, que en tocándola se marchita; abunda de diferentes especies de culebras, y entre ellas hay unas amarillas y encarnadas con la cabeza chata, cuyo veneno es tan activo, que si muerde a alguno y no se acude con mucha prontitud al remedio, muere el paciente antes de dos horas: está 12 leguas al NE de la Antigua , y 24 al NNE de la de San Christóbal , pertenece a la familia de Codrington, a quien rinde más de 50.000 libras esterlinas al año; abunda de ganado de cerda, cabrío y aves, en cuya cría se ocupan los naturales, que serán 1200, y lo venden en las demás Islas: lat. 17 1/2.
