id	title	title_source	title_uri	ccodes	fclasses	types	lat	lon	geowkt	start	end	links	description	approximation
id_03783	Chiqulligasta			AR	P	Pueblo	-27.346000	-65.593100		1786	1789	indias:9000117	Pueblo de la Provincia y Gobierno del Tucumán en el distrito de su Capital, situado al SE de ella.	
id_03622	Chichimequilla			MX	P	Pueblo	19.424200	-100.364200		1786	1789	indias:1002146	Pueblo de la Cabecera de Zitaquaro y Alcaldía mayor de Maravatio en el Obispado de Mechoacán y Reyno de Nueva España : tiene 84 familias de Indios, y está un quarto de legua al S de su Cabecera.	
id_00332	Santa María de Aiocuesco			MX	P	Pueblo Cabecera	16.676700	-96.841700		1786	1789	indias:1002219	Pueblo y Cabecera de Partido de la Alcaldía mayor de Antequera , en la Provincia y Obispado de Mechoacán , en Nueva España ; es de temperamento cálido, tiene un Convento de Religiosos de Santo Domingo, y 400 familias de Indios, que hacen algún comercio de la grana que cultivan, y mucho de la fá brica de Pulques, por la abundancia de Magueyes que tienen; está 7 leguas al S de su Capital.	
id_10355	Mindo			EC	P	Pueblo	-0.050500	-78.778800		1786	1789	indias:5600066	Pueblo del Corregimiento y Reyno de Quito en el distrito de la Jurisdicción de las cinco leguas.	
id_03257	Cercado			PE	A	Provincia	-12.007700	-76.922600		1786	1789	indias:JUPELICL	Provincia y Corregimiento del Perú: confina por el N con la de Chancay , por el NE con la de Canta , por el E con la de Huarochiri , por el S con la de Cañete , y por el O con el mar del S : tiene de largo 13 leguas N S, y 8 de ancho por donde más: es de temperamento muy templado y benigno; pero algo enferma: no experimenta tempestades ni vientos fuertes; pero sí frequentes y grandes terremotos; solo llueve en el invierno una menuda lluvia que llaman garúa, por lo qual no tienen texados las casa...	crm:P189_approximates
id_03289	Chacamarca			PE	P	Pueblo	-13.450100	-73.955200		1786	1789	indias:6000439	Pueblo de la Provincia y Corregimiento de Vilcas Huaman en el Perú .	
id_05726	Enfield			US	P	Pueblo	45.248900	-68.568400		1786	1789	gn:4963801	Pueblo de los Ingleses en la Provincia de Massachusets , una de las de la Nueva Inglaterra , situado a orilla del río Connecticut , y al S de la Ciudad de Springfield .	crm:P189_approximates
id_16583	Santiago de Tolu			CO	P	Villa	9.524000	-75.584000		1786	1789	indias:5000026	Villa de la Provincia y Gobierno de Cartagena en el Nuevo Reyno de Granada , fundada por Pedro de Heredia el año de 1534, es de temperamento muy cálido, pero sano, abundante y fértil en granos y frutos, especialmente de maíz y de unos árboles cuya resina es el bálsamo tan celebrado de Tolú, y que tiene tanto crédito y estimación para curar heridas, por lo qual es un ramo considerable de comercio; ha sido saqueada esta Villa diferentes veces por los piratas Ingleses y Franceses, está 6 leguas de ...	
id_13227	Plato			CO	P	Pueblo	9.791700	-74.783700		1786	1789	indias:5000634	Pueblo de la Provincia y Gobierno de Santa Marta en el Nuevo Reyno de Granada , situado a orilla del río grande de la Magdalena , y al S de la Villa de Tenerife .	
id_04779	San Felipe de Cozolcaque			MX	P	Pueblo	17.995300	-94.636900		1786	1789	indias:1004151	Pueblo de la Cabecera de Tenantitlán y Alcaldía mayor de Acayuca en Nueva España : tiene 51 familias de Indios, y está 10 leguas al E 1/4 al SE de su Cabecera.	
id_14629	Saña			PE	A	Provincia	-6.704300	-79.811300		1786	1789	indias:JUPETRSA	Provincia y Corregimiento del Perú en el Obispado de Truxillo , confina por el E con la de Caxamarca , por el NE con la misma en el partido de Guambos , por el N y NO con la de Piura , y por el O con el mar del Sur ; tiene de largo 25 leguas SE NO, y 14 de ancho; fue en otro tiempo muy poblada, y tan abundante de frutos, que se cargaban en el Puerto de Cherrepe muchos navíos para Panamá , Guayaquil , Callao y Chile , fuera de lo que internaba a las Provincias confinantes; su temperamento es beni...	crm:P189_approximates
id_05783	Esmeraldas			EC	A	Provincia	0.319500	-79.225300		1786	1789	indias:PRQUES00	Provincia y Gobierno del Reyno de Quito , situada entre las dos jurisdicciones de Guayaquil y de Barbacoas en la Costa de la mar del Sur , confina con la de Popayán por el Pueblo de Usmál , que es la línea divisoria que por el S la separa del distrito de Guayaquil , por el O con las de Quito y Ibarra : tiene 56 leguas de largo, goza de diferentes temperamentos, y es muy fértil y abundante de toda especie de frutos, siendo los principales de que hace comercio cera, copal, bálsamos, brea, pita, ba...	crm:P189_approximates
id_08108	Izucar			MX	A	Jurisdicción	18.617700	-98.452000		1786	1789	indias:JUNEPUIZ	Jurisdicción y Alcaldía mayor de Nueva España, es por la mayor parte de terreno montuoso, áspero y estéril, y solo produce cortas cosechas de granos y semillas; era antes más reducida, y por su escasez se agregaron a su jurisdicción las de Aguatlán y Teopantlan , que son muy pobres: sin embargo tiene suficiente población en los Pueblos siguientes. San Lucas de Culucan . Santa María de la Asunción . San Martín de Alchichica . S. Juan de Epatlán . Tepexoxuma . Tepapayeca . Chietlán . S....	crm:P189_approximates
id_16427	Tizapan Alto			MX	P	Pueblo	20.158300	-103.043300		1786	1789	indias:1000562	Otro en la misma Alcaldía mayor y Reyno de la Cabeza de partido de Tecocuitlán con el sobrenombre del Alto para distinguirlo del anterior tiene 30 familias de Indios todos de oficio texedores, y está 12 leguas al N de su Capital.	
id_17682	Xacapixtla			MX	P	Pueblo Cabecera	18.881100	-98.865400		1786	1789	indias:1000975	Pueblo y Cabeza de partido de la Alcaldía mayor de Cuernavaca en Nueva España , tiene 338 familias de Españoles, y 50 de Indios, inclusos los que habitan otros tres Pueblos de su jurisdición; hay en él un Convento de Religiosos Agustinos en que se venera una Imagen de San Juan Baptista pintada en lienzo, en la que no há muchos años sucedió el prodigio de que habiéndole caido un rayo, teniendo la vista inclinada al cordero le hizo levantar la cabeza al cielo, con cuyo movimiento el resplandor dor...	
id_12629	San Pedro			MX	P	Pueblo	28.070700	-105.785400		1786	1789	indias:1005157	Otro que es Real de Minas de Plata de la Provincia de Taraumara y Reyno de la Nueva Vizcaya , situado a la orilla de un río que entra en el de Conchos , está 120 leguas de la Capital Guadiana , en 261 gr. 5 min. de long. y 29 gr. 11 min. de lat.	
id_07228	San Hipolito			MX	P	Pueblo	19.119200	-97.708300		1786	1789	indias:1003563	Otro Pueblo hay del mismo nombre de la Cabecera de Tlalchicomula y Alcaldía mayor que el antecedente en aquel Reyno, situado en una loma, tiene 83 familias de Indios Otomies, y esta 8 leguas al NE 1/4 al E de la Capital.	
id_18006	San Bartolomé Yautepec			MX	P	Pueblo	16.428300	-95.973600		1786	1789	indias:1002609	Otro Pueblo hay de este nombre con la advocación de San Bartolomé que es Cabeza del partido y Alcaldía mayor de Nexapa en el mismo Reyno que el anterior, de temperamento cálido, situado en un llano y habitado de 45 familias de Indios que se exercitan en el beneficio de la caña dulce para hacer azúcar de piloncillo; en su distrito hay varias huertas que con el beneficio de las aguas de un río que pasa por delante del Pueblo producen muchas frutas del país, comprende este partido 8 Pueblos.	
id_17668	Woburne			US	P	Ciudad	42.479300	-71.152300		1786	1789	gn:4956032	Ciudad del Condado de Middlesex y Bahía de Massachusets , entre Medford y Wilminham , 10 millas al N de Cambridge , y 7 al NE de Lenxington .	crm:P189_approximates
id_16440	Tlacolula			MX	P	Pueblo	19.666700	-97.001700		1786	1789	indias:1004301	Otro Cabeza de partido de la Alcaldía mayor de Xalapa , situado en terreno áspero y quebrado, entre dos cerros muy grandes, es de temperamento frío y seco; sus naturales hablan el idioma Totonaque, aunque los Pueblos son del Mexicano, y el de éste significa lugar donde se escribe, porque en tiempo de la gentilidad estaba destinado para escribir los Indios sus historias con aquellos caracteres y figuras que usaban: su vecindario se compone de 22 familias de Indios que comercian en maíz, tabaco y ...	
id_11765	Candelaria Masagua			SV	P	Pueblo	13.637600	-89.376900		1786	1789	indias:2000441	Otro con la advocación de la Candelaria en la Provincia y Corregimiento de Santa Ana en el mismo Reyno, anexo al Curato de San Esteban de Texistepeque .	
id_16475	Tlamahuazapa			MX	P	Pueblo	18.495300	-99.500000		1786	1789	indias:1001475	Pueblo de la Cabeza de partido y Alcaldía mayor de Tlasco , tiene 90 familias de Indios, y está 5 leguas al E de su Capital.	
id_13933	Ranchos			AR	P	Pueblo	-32.025800	-63.549100		1786	1789		Pueblo de la Provincia y Gobierno del Tucumán en el Perú , y de la jurisdicción de la Ciudad de Córdoba , está situado a la falda de la montaña nevada, entre los ríos segundo y tercero.	
id_13421	Presto			BO	P	Pueblo	-18.929900	-64.937700		1786	1789	indias:8000064	Pueblo de la Provincia y Corregimiento de Tomina en el Perú .	
id_15556	Taganga			CO	P	Pueblo	11.268200	-74.190800		1786	1789	indias:5000378	Pueblo de la Provincia y Gobierno de Santa Marta y Nuevo Reyno de Granada , está antes de llegar a la punta de la Abuja en una Bahía de su nombre, es de clima cálido, se gobierna por un Cazique Señor de él, antes era muy poblado.	
id_18153	Zaila			PE	P	Pueblo	-15.320400	-73.220700		1786	1789	indias:6000566	Pueblo de la Provincia y Corregimiento de Parinacochas en el Perú .	
id_05522	Pueblo Nuevo de los Dolores			MX	P	Pueblo	21.157400	-100.932900		1786	1789	indias:1004856	en la Alcaldía mayor de San Miguel el Grande de la Provincia y Obispado de Mechoacán en Nueva España , se fundó el año de 1717 de una Congregación que con este título habia en la Villa de San Felipe , tiene 200 familias de Españoles Mestizos y Mulatos .	
id_11141	Nochiztlan			MX	P	Pueblo	21.360600	-102.845600		1786	1789	indias:1004610	Tiene el mismo nombre otro Pueblo de la Cabezera de Partido y Alcaldía mayor de Cuquio en el mismo Reyno: es de muy crecido vecindario, y está 12 leguas al N quarta al NE de él.	
id_04156	Cobre			CU	P	Pueblo	20.050600	-75.946000		1786	1789	indias:3000261	Otro Pueblo hay de este nombre en la Isla de Cuba en la Costa Meridional.	
id_04432	Concepcion			AR	P	Pueblo	-29.553900	-63.041700		1786	1789	indias:9000231	Otro de la Provincia y Gobierno del Tucumán en el Perú , y del distrito del Chaco , reducción de Indios Abipones, de la Misión que tenían los Regulares de la Compañía, y está hoy al cargo de los Religiosos de San Francisco.	crm:P189_approximates
id_05309	Charcas			BO	A	Provincia	-19.220200	-65.379300		1786	1789	indias:AUCC0000	Provincia dilatada del Reyno del Perú compuesta de otras varias, cuya jurisdicción comprehende el distrito de esta Real Audiencia, que empieza en Vilcanota del Corregimiento de Lampa y Obispado del Cuzco , y llega hasta Buenos-Ayres por la parte del Sur : confina por el Oriente con el Brasil , sirviéndole de términos el Meridiano de demarcación, y por el Occidente llega hasta la mar del Sur por el Corregimiento de Atacama , que es de su distrito, y lo más Septentrional de ella por aquella parte,...	crm:P189_approximates
